timestamp,device_name,device_suffix,hostname,run_id,stage,fl_round,num_samples,accuracy,loss,fog_role,buffer_target,peer_count
2026-04-27 20:12:00,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,fog_fedavg,13,60,0.8333333432674408,0.3787100687623024,leader,,2
2026-04-27 20:12:50,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,local_train,13,30,0.7666666507720947,0.7279154062271118,leader,30,
2026-04-27 20:12:50,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,fog_fedavg,13,60,0.8499999940395355,0.4736340343952179,leader,,2
2026-04-27 20:13:40,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,local_train,13,30,0.9333333373069763,0.16547034680843353,leader,30,
2026-04-27 20:13:40,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,fog_fedavg,13,60,0.9166666567325592,0.19045252352952957,leader,,2
2026-04-27 20:14:30,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,local_train,14,30,0.8666666746139526,0.27390873432159424,leader,30,
2026-04-27 20:14:30,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,fog_fedavg,14,60,0.9000000059604645,0.22183876484632492,leader,,2
2026-04-27 20:15:20,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,local_train,15,30,0.9333333373069763,0.22331124544143677,leader,30,
2026-04-27 20:15:20,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,fog_fedavg,15,60,0.9333333373069763,0.19527167826890945,leader,,2
2026-04-27 20:16:10,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,local_train,16,30,0.9333333373069763,0.2297350913286209,leader,30,
2026-04-27 20:16:10,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,fog_fedavg,16,60,0.8833333253860474,0.24963580816984177,leader,,2
2026-04-27 20:17:00,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,local_train,17,30,0.8999999761581421,0.17072753608226776,leader,30,
2026-04-27 20:17:00,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,fog_fedavg,17,60,0.8666666448116302,0.3012623116374016,leader,,2
2026-04-27 20:17:50,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,local_train,18,30,0.8999999761581421,0.17308951914310455,leader,30,
2026-04-27 20:17:50,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,fog_fedavg,18,60,0.9166666567325592,0.17142131924629211,leader,,2
2026-04-27 20:18:40,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,local_train,19,30,0.8999999761581421,0.1754010170698166,leader,30,
2026-04-27 20:18:40,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,fog_fedavg,19,60,0.9166666567325592,0.1484946459531784,leader,,2
