timestamp,uptime_s,device_name,device_suffix,hostname,run_id,channel,operation,payload_bytes,elapsed_ms,fl_round,client_id,sample_label,sample_label_name,attempt_id,attempt_dir,source_file,source_scope,timestamp_dt,event_type,round_ref,gateway_id,node_id,event_name,status,trace_id,stage,num_samples,accuracy,loss,buffer_target,round,time,w3_mag,w4_normal,w4_brute,w4_scan
10:25:17.941,16.0,gateway,gateway_B,gatewayB,1.0,ESP32->RPi,deserialize,107.0,0.13,0.0,esp32_edge_normal_1,0.0,normal,16,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#16,plain_metrics_gateway_gateway_B_1.csv,gateway_transport,2026-04-19 10:25:17.941,transport.plain,1,gateway_B,gateway_B,transport.plain.gateway,reconstructed_from_csv,attempt:16:round:1,,,,,,,,,,,
10:25:20.165,18.2,gateway,gateway_B,gatewayB,1.0,ESP32->RPi,deserialize,117.0,0.12,0.0,esp32_edge_normal_3,0.0,normal,16,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#16,plain_metrics_gateway_gateway_B_1.csv,gateway_transport,2026-04-19 10:25:20.165,transport.plain,1,gateway_B,gateway_B,transport.plain.gateway,reconstructed_from_csv,attempt:16:round:1,,,,,,,,,,,
10:25:20.953,19.0,gateway,gateway_B,gatewayB,1.0,ESP32->RPi,deserialize,119.0,0.128,0.0,esp32_edge_normal_2,0.0,normal,16,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#16,plain_metrics_gateway_gateway_B_1.csv,gateway_transport,2026-04-19 10:25:20.953,transport.plain,1,gateway_B,gateway_B,transport.plain.gateway,reconstructed_from_csv,attempt:16:round:1,,,,,,,,,,,
10:25:21.964,19.9,gateway,gateway_A,raspberrypi,1.0,ESP32->RPi,deserialize,117.0,0.136,0.0,esp32_edge_normal_3,0.0,normal,16,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#16,plain_metrics_gateway_gateway_A_1.csv,gateway_transport,2026-04-19 10:25:21.964,transport.plain,1,gateway_A,gateway_A,transport.plain.gateway,reconstructed_from_csv,attempt:16:round:1,,,,,,,,,,,
10:25:22.108,20.0,gateway,gateway_A,raspberrypi,1.0,ESP32->RPi,deserialize,117.0,0.079,0.0,esp32_edge_normal_2,0.0,normal,16,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#16,plain_metrics_gateway_gateway_A_1.csv,gateway_transport,2026-04-19 10:25:22.108,transport.plain,1,gateway_A,gateway_A,transport.plain.gateway,reconstructed_from_csv,attempt:16:round:1,,,,,,,,,,,
10:25:22.253,20.1,gateway,gateway_A,raspberrypi,1.0,ESP32->RPi,deserialize,121.0,0.17,0.0,esp32_edge_normal_1,0.0,normal,16,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#16,plain_metrics_gateway_gateway_A_1.csv,gateway_transport,2026-04-19 10:25:22.253,transport.plain,1,gateway_A,gateway_A,transport.plain.gateway,reconstructed_from_csv,attempt:16:round:1,,,,,,,,,,,
10:25:22.981,21.0,gateway,gateway_B,gatewayB,1.0,ESP32->RPi,deserialize,119.0,0.145,0.0,esp32_edge_normal_1,0.0,normal,16,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#16,plain_metrics_gateway_gateway_B_1.csv,gateway_transport,2026-04-19 10:25:22.981,transport.plain,1,gateway_B,gateway_B,transport.plain.gateway,reconstructed_from_csv,attempt:16:round:1,,,,,,,,,,,
10:25:25.194,23.3,gateway,gateway_B,gatewayB,1.0,ESP32->RPi,deserialize,116.0,0.144,0.0,esp32_edge_normal_3,0.0,normal,16,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#16,plain_metrics_gateway_gateway_B_1.csv,gateway_transport,2026-04-19 10:25:25.194,transport.plain,1,gateway_B,gateway_B,transport.plain.gateway,reconstructed_from_csv,attempt:16:round:1,,,,,,,,,,,
10:25:25.954,24.0,gateway,gateway_B,gatewayB,1.0,ESP32->RPi,deserialize,117.0,0.213,0.0,esp32_edge_normal_2,0.0,normal,16,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#16,plain_metrics_gateway_gateway_B_1.csv,gateway_transport,2026-04-19 10:25:25.954,transport.plain,1,gateway_B,gateway_B,transport.plain.gateway,reconstructed_from_csv,attempt:16:round:1,,,,,,,,,,,
10:25:26.982,24.9,gateway,gateway_A,raspberrypi,1.0,ESP32->RPi,deserialize,112.0,0.121,0.0,esp32_edge_normal_3,0.0,normal,16,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#16,plain_metrics_gateway_gateway_A_1.csv,gateway_transport,2026-04-19 10:25:26.982,transport.plain,1,gateway_A,gateway_A,transport.plain.gateway,reconstructed_from_csv,attempt:16:round:1,,,,,,,,,,,
10:25:27.104,25.0,gateway,gateway_A,raspberrypi,1.0,ESP32->RPi,deserialize,106.0,0.083,0.0,esp32_edge_normal_2,0.0,normal,16,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#16,plain_metrics_gateway_gateway_A_1.csv,gateway_transport,2026-04-19 10:25:27.104,transport.plain,1,gateway_A,gateway_A,transport.plain.gateway,reconstructed_from_csv,attempt:16:round:1,,,,,,,,,,,
10:25:27.253,25.1,gateway,gateway_A,raspberrypi,1.0,ESP32->RPi,deserialize,115.0,0.146,0.0,esp32_edge_normal_1,0.0,normal,16,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#16,plain_metrics_gateway_gateway_A_1.csv,gateway_transport,2026-04-19 10:25:27.253,transport.plain,1,gateway_A,gateway_A,transport.plain.gateway,reconstructed_from_csv,attempt:16:round:1,,,,,,,,,,,
10:25:27.939,26.0,gateway,gateway_B,gatewayB,1.0,ESP32->RPi,deserialize,114.0,0.159,0.0,esp32_edge_normal_1,0.0,normal,16,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#16,plain_metrics_gateway_gateway_B_1.csv,gateway_transport,2026-04-19 10:25:27.939,transport.plain,1,gateway_B,gateway_B,transport.plain.gateway,reconstructed_from_csv,attempt:16:round:1,,,,,,,,,,,
