trace_id,attempt_id,global_round,global_timestamp,global_accuracy,global_loss,w3_mag,w4_normal,w4_brute,w4_scan,gateway_A_local_accuracy,gateway_A_local_loss,gateway_A_local_num_samples,gateway_A_local_timestamp,gateway_A_gateway_events,gateway_A_gateway_deserialize_avg_ms,gateway_A_gateway_deserialize_p95_ms,gateway_A_gateway_avg_payload_bytes,gateway_A_gateway_samples_seen,gateway_B_local_accuracy,gateway_B_local_loss,gateway_B_local_num_samples,gateway_B_local_timestamp,gateway_B_gateway_events,gateway_B_gateway_deserialize_avg_ms,gateway_B_gateway_deserialize_p95_ms,gateway_B_gateway_avg_payload_bytes,gateway_B_gateway_samples_seen,server_rpi_pc_events,server_rpi_pc_avg_ms,server_rpi_pc_p95_ms,server_rpi_pc_avg_payload_bytes,server_pc_rpi_events,server_pc_rpi_avg_ms,server_pc_rpi_p95_ms,server_pc_rpi_avg_payload_bytes
attempt:20:round:3,20,3,2026-04-19 12:52:24,0.983333,0.101466,0.293771,0.304563,0.56618,0.441655,1.0,0.031784538179636,30,2026-04-19 12:52:24,33.0,0.1378787878787879,0.2929999999999998,430.0,30.0,0.9666666388511658,0.1711474508047104,30,2026-04-19 12:52:24,33.0,0.14754545454545454,0.29779999999999973,431.0,30.0,2.0,0.0,0.0,3638.0,1.0,0.183,0.183,3542.0
attempt:20:round:4,20,4,2026-04-19 12:53:14,1.0,0.017869,0.296058,0.310445,0.573161,0.450868,1.0,0.0208569094538688,30,2026-04-19 12:53:14,33.0,0.137,0.30039999999999983,430.90909090909093,30.0,1.0,0.014881893992424,30,2026-04-19 12:53:14,33.0,0.14224242424242425,0.2821999999999998,431.0,30.0,2.0,0.0,0.0,3627.5,1.0,0.186,0.186,3539.0
attempt:20:round:5,20,5,2026-04-19 12:54:11,0.983333,0.03151,0.297398,0.314066,0.577906,0.455993,1.0,0.0150787141174077,30,2026-04-19 12:54:11,33.0,0.13336363636363635,0.3189999999999999,431.45454545454544,30.0,0.9666666388511658,0.0479411147534847,30,2026-04-19 12:54:04,37.0,0.1288108108108108,0.26619999999999927,398.0810810810811,34.0,2.0,0.0,0.0,3627.0,1.0,0.208,0.208,3543.0
attempt:20:round:6,20,6,2026-04-19 12:55:01,0.916667,0.297425,0.292883,0.30694,0.570252,0.44862,0.8333333134651184,0.5721103549003601,30,2026-04-19 12:55:01,33.0,0.1740909090909091,0.3285999999999998,428.6060606060606,30.0,1.0,0.0227403938770294,30,2026-04-19 12:54:54,34.0,0.11608823529411764,0.2696499999999997,422.52941176470586,31.0,2.0,0.0,0.0,3633.0,1.0,0.214,0.214,3542.0
attempt:20:round:7,20,7,2026-04-19 12:55:51,0.966667,0.108739,0.290382,0.305917,0.558704,0.445627,0.9333333373069764,0.201882392168045,30,2026-04-19 12:55:51,33.0,0.14745454545454545,0.34519999999999984,429.4848484848485,30.0,1.0,0.0155958831310272,30,2026-04-19 12:55:44,32.0,0.13421875,0.3172499999999999,440.625,29.0,2.0,0.0,0.0,3642.5,1.0,0.184,0.184,3526.0
attempt:20:round:8,20,8,2026-04-19 12:56:42,0.95,0.129467,0.290301,0.309646,0.561889,0.44931,0.8999999761581421,0.2380230873823166,30,2026-04-19 12:56:42,33.0,0.1315151515151515,0.3073999999999997,429.8484848484849,30.0,1.0,0.0209112726151943,30,2026-04-19 12:56:34,34.0,0.1358823529411765,0.3282999999999998,421.94117647058823,31.0,2.0,0.0,0.0,3652.0,1.0,0.215,0.215,3545.0
attempt:20:round:9,20,9,2026-04-19 12:57:31,0.966667,0.170491,0.291124,0.308415,0.554495,0.45506,0.9333333373069764,0.331632524728775,30,2026-04-19 12:57:31,33.0,0.12354545454545454,0.3307999999999998,430.72727272727275,30.0,1.0,0.0093500101938843,30,2026-04-19 12:57:24,32.0,0.1375625,0.3336999999999999,441.40625,29.0,2.0,0.0,0.0,3642.5,1.0,0.207,0.207,3542.0
attempt:20:round:10,20,10,2026-04-19 12:58:21,0.916667,0.298912,0.291026,0.301152,0.55696,0.455685,0.8333333134651184,0.5781097412109375,30,2026-04-19 12:58:21,33.0,0.12872727272727275,0.3131999999999998,429.2121212121212,30.0,1.0,0.0197151284664869,30,2026-04-19 12:58:14,33.0,0.14015151515151514,0.41479999999999984,432.030303030303,30.0,2.0,0.0,0.0,3643.5,1.0,0.173,0.173,3550.0
attempt:20:round:11,20,11,2026-04-19 12:59:12,0.966667,0.096292,0.291671,0.299595,0.557968,0.460098,0.9333333373069764,0.1792531460523605,30,2026-04-19 12:59:12,33.0,0.1437878787878788,0.37179999999999985,430.3030303030303,30.0,1.0,0.0133302314206957,30,2026-04-19 12:59:04,34.0,0.1366764705882353,0.3199999999999998,423.38235294117646,31.0,2.0,0.0,0.0,3648.5,1.0,0.228,0.228,3540.0
attempt:20:round:12,20,12,2026-04-19 13:00:01,0.966667,0.083612,0.293535,0.303635,0.558013,0.465273,0.9333333373069764,0.160391628742218,30,2026-04-19 13:00:01,33.0,0.14457575757575758,0.3095999999999997,428.4848484848485,30.0,1.0,0.0068332846276462,30,2026-04-19 12:59:54,32.0,0.12912500000000002,0.2930999999999999,441.25,29.0,2.0,0.0,0.0,3635.5,1.0,0.216,0.216,3539.0
