attempt_id,source_scope,device_suffix,channel,operation,events,avg_ms,median_ms,p95_ms,max_ms,avg_payload_bytes,min_payload_bytes,max_payload_bytes
22,gateway_transport,gateway_A,RPi->PC,serialize,20.0,0.44375,0.439,0.46075000000000005,0.532,3643.55,3621.0,3657.0
22,gateway_transport,gateway_B,ESP32->RPi,deserialize,607.0,0.13263261943986823,0.145,0.188,0.288,116.84514003294893,106.0,121.0
22,gateway_transport,gateway_B,PC->RPi,deserialize,20.0,0.5101,0.6114999999999999,0.69175,0.706,3537.05,3523.0,3550.0
22,gateway_transport,gateway_B,RPi->ESP32,serialize,20.0,0.87245,1.0535,1.18815,1.267,3537.05,3523.0,3550.0
22,gateway_transport,gateway_B,RPi->PC,serialize,20.0,0.45389999999999997,0.4555,0.4892,0.512,3633.35,3622.0,3647.0
22,server_transport,Asus,PC->RPi,serialize,20.0,0.19375,0.19,0.22815000000000002,0.25,3537.05,3523.0,3550.0
22,server_transport,Asus,RPi->PC,deserialize,40.0,0.0,0.0,0.0,0.0,3638.45,3621.0,3657.0
23,gateway_transport,gateway_A,ESP32->RPi,deserialize,606.0,0.11732673267326732,0.135,0.15975,0.26,115.56600660066006,81.0,124.0
23,gateway_transport,gateway_A,PC->RPi,deserialize,20.0,0.25565000000000004,0.23249999999999998,0.3472000000000002,0.579,3535.75,3525.0,3549.0
23,gateway_transport,gateway_A,RPi->ESP32,serialize,20.0,0.4112,0.3765,0.4465000000000004,1.007,3535.75,3525.0,3549.0
23,gateway_transport,gateway_A,RPi->PC,serialize,20.0,0.44159999999999994,0.4375,0.47325,0.516,3641.15,3627.0,3660.0
23,gateway_transport,gateway_B,ESP32->RPi,deserialize,605.0,0.12191570247933886,0.132,0.154,0.301,115.2892561983471,81.0,124.0
23,gateway_transport,gateway_B,PC->RPi,deserialize,20.0,0.2832,0.2715,0.38345,0.43,3535.75,3525.0,3549.0
23,gateway_transport,gateway_B,RPi->ESP32,serialize,20.0,0.42889999999999995,0.3955,0.5929,0.629,3535.75,3525.0,3549.0
23,gateway_transport,gateway_B,RPi->PC,serialize,20.0,0.475,0.451,0.5427500000000002,0.709,3640.4,3613.0,3656.0
23,server_transport,Asus,PC->RPi,serialize,20.0,0.22220000000000004,0.216,0.31230000000000013,0.527,3535.75,3525.0,3549.0
23,server_transport,Asus,RPi->PC,deserialize,40.0,0.0,0.0,0.0,0.0,3640.775,3613.0,3660.0
24,gateway_transport,gateway_A,ESP32->RPi,deserialize,602.0,0.12138039867109635,0.135,0.183,0.274,115.30066445182725,81.0,124.0
24,gateway_transport,gateway_A,PC->RPi,deserialize,20.0,0.24950000000000006,0.242,0.32615,0.329,3536.45,3525.0,3550.0
24,gateway_transport,gateway_A,RPi->ESP32,serialize,20.0,0.37825000000000003,0.368,0.40595000000000014,0.538,3536.45,3525.0,3550.0
