round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan,attempt_id,attempt_dir,source_file,source_scope,timestamp_dt,event_type,round_ref,gateway_id,node_id,round_duration_sec,w3_drift_abs,w4_normal_drift_abs,w4_brute_drift_abs,w4_scan_drift_abs,weight_drift_total_abs
15,12:35:56,0.966667,0.08769,0.298985,0.309221,0.575184,0.472828,19,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#19,global_weights_history_1.csv,global_round,2026-04-19 12:35:56,model.global_round,15,aggregate,server,50.0,0.0010560000000000014,0.0005450000000000177,0.0025450000000000195,0.00621900000000003,0.010365000000000069
16,12:36:46,0.966667,0.090604,0.298355,0.307647,0.571522,0.473211,19,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#19,global_weights_history_1.csv,global_round,2026-04-19 12:36:46,model.global_round,16,aggregate,server,50.0,0.0006300000000000194,0.0015740000000000198,0.003662000000000054,0.0003829999999999667,0.00624900000000006
17,12:37:36,0.883333,0.165605,0.298272,0.309156,0.571578,0.475143,19,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#19,global_weights_history_1.csv,global_round,2026-04-19 12:37:36,model.global_round,17,aggregate,server,50.0,8.299999999999974e-05,0.0015089999999999826,5.6000000000056005e-05,0.0019319999999999893,0.0035800000000000276
18,12:38:26,0.983333,0.053225,0.29888,0.310978,0.572202,0.47558,19,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#19,global_weights_history_1.csv,global_round,2026-04-19 12:38:26,model.global_round,18,aggregate,server,50.0,0.0006079999999999974,0.0018219999999999903,0.0006239999999999579,0.0004370000000000207,0.0034909999999999664
19,12:39:16,0.933333,0.117985,0.299705,0.312885,0.573145,0.47756,19,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#19,global_weights_history_1.csv,global_round,2026-04-19 12:39:16,model.global_round,19,aggregate,server,50.0,0.0008250000000000202,0.0019070000000000475,0.0009430000000000271,0.0019799999999999818,0.005655000000000077
20,12:40:06,0.933333,0.103459,0.300575,0.314494,0.57444,0.478459,19,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#19,global_weights_history_1.csv,global_round,2026-04-19 12:40:06,model.global_round,20,aggregate,server,50.0,0.0008699999999999819,0.0016089999999999716,0.001294999999999935,0.0008990000000000387,0.004672999999999927
1,12:50:50,0.8,0.637757,0.287922,0.292552,0.541662,0.411649,20,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#20,global_weights_history_1.csv,global_round,2026-04-19 12:50:50,model.global_round,1,aggregate,server,,,,,,0.0
2,12:51:34,0.933333,0.26072,0.290646,0.295424,0.556285,0.429607,20,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#20,global_weights_history_1.csv,global_round,2026-04-19 12:51:34,model.global_round,2,aggregate,server,44.0,0.002724000000000004,0.002872000000000041,0.014623000000000053,0.01795800000000003,0.03817700000000013
3,12:52:24,0.983333,0.101466,0.293771,0.304563,0.56618,0.441655,20,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#20,global_weights_history_1.csv,global_round,2026-04-19 12:52:24,model.global_round,3,aggregate,server,50.0,0.003124999999999989,0.009138999999999953,0.009894999999999987,0.012048000000000003,0.03420699999999993
4,12:53:14,1.0,0.017869,0.296058,0.310445,0.573161,0.450868,20,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#20,global_weights_history_1.csv,global_round,2026-04-19 12:53:14,model.global_round,4,aggregate,server,50.0,0.0022869999999999835,0.005882000000000054,0.006981000000000015,0.009212999999999971,0.024363000000000024
5,12:54:11,0.983333,0.03151,0.297398,0.314066,0.577906,0.455993,20,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#20,global_weights_history_1.csv,global_round,2026-04-19 12:54:11,model.global_round,5,aggregate,server,57.0,0.0013400000000000079,0.0036209999999999853,0.004744999999999999,0.005124999999999991,0.014830999999999983
6,12:55:01,0.916667,0.297425,0.292883,0.30694,0.570252,0.44862,20,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#20,global_weights_history_1.csv,global_round,2026-04-19 12:55:01,model.global_round,6,aggregate,server,50.0,0.004514999999999991,0.007126000000000021,0.00765400000000005,0.007372999999999963,0.026668000000000025
7,12:55:51,0.966667,0.108739,0.290382,0.305917,0.558704,0.445627,20,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#20,global_weights_history_1.csv,global_round,2026-04-19 12:55:51,model.global_round,7,aggregate,server,50.0,0.002501000000000031,0.0010229999999999961,0.011548000000000003,0.0029930000000000234,0.018065000000000053
8,12:56:42,0.95,0.129467,0.290301,0.309646,0.561889,0.44931,20,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#20,global_weights_history_1.csv,global_round,2026-04-19 12:56:42,model.global_round,8,aggregate,server,51.0,8.099999999999774e-05,0.0037289999999999823,0.0031849999999999934,0.003682999999999992,0.010677999999999965
9,12:57:31,0.966667,0.170491,0.291124,0.308415,0.554495,0.45506,20,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#20,global_weights_history_1.csv,global_round,2026-04-19 12:57:31,model.global_round,9,aggregate,server,49.0,0.0008230000000000182,0.0012309999999999821,0.007394000000000012,0.005750000000000033,0.015198000000000045
10,12:58:21,0.916667,0.298912,0.291026,0.301152,0.55696,0.455685,20,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#20,global_weights_history_1.csv,global_round,2026-04-19 12:58:21,model.global_round,10,aggregate,server,50.0,9.799999999998699e-05,0.0072630000000000194,0.0024650000000000505,0.0006249999999999867,0.010451000000000044
11,12:59:12,0.966667,0.096292,0.291671,0.299595,0.557968,0.460098,20,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#20,global_weights_history_1.csv,global_round,2026-04-19 12:59:12,model.global_round,11,aggregate,server,51.0,0.0006450000000000067,0.001556999999999975,0.0010080000000000089,0.004413,0.007622999999999991
12,13:00:01,0.966667,0.083612,0.293535,0.303635,0.558013,0.465273,20,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#20,global_weights_history_1.csv,global_round,2026-04-19 13:00:01,model.global_round,12,aggregate,server,49.0,0.0018639999999999768,0.004039999999999988,4.499999999996174e-05,0.005174999999999985,0.011123999999999912
13,13:00:51,0.95,0.145308,0.293672,0.304597,0.561182,0.470538,20,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#20,global_weights_history_1.csv,global_round,2026-04-19 13:00:51,model.global_round,13,aggregate,server,50.0,0.00013699999999999823,0.0009620000000000184,0.0031689999999999774,0.00526500000000002,0.009533000000000014
14,13:01:41,0.933333,0.155222,0.293451,0.300691,0.562129,0.473785,20,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#20,global_weights_history_1.csv,global_round,2026-04-19 13:01:41,model.global_round,14,aggregate,server,50.0,0.00022099999999997122,0.0039060000000000206,0.0009470000000000312,0.003247,0.008321000000000023
15,13:02:31,0.95,0.213786,0.294151,0.301847,0.560787,0.476815,20,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#20,global_weights_history_1.csv,global_round,2026-04-19 13:02:31,model.global_round,15,aggregate,server,50.0,0.0006999999999999784,0.0011559999999999904,0.0013419999999999543,0.003029999999999977,0.0062279999999999
16,13:03:21,0.966667,0.114939,0.294228,0.299936,0.561963,0.478472,20,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#20,global_weights_history_1.csv,global_round,2026-04-19 13:03:21,model.global_round,16,aggregate,server,50.0,7.699999999999374e-05,0.001910999999999996,0.0011759999999999549,0.0016570000000000196,0.004820999999999964
17,13:04:11,0.966667,0.121625,0.294799,0.299364,0.565732,0.484787,20,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#20,global_weights_history_1.csv,global_round,2026-04-19 13:04:11,model.global_round,17,aggregate,server,50.0,0.0005709999999999882,0.0005719999999999614,0.0037690000000000223,0.006315000000000015,0.011226999999999987
18,13:05:01,0.916667,0.134133,0.296157,0.302244,0.567032,0.490064,20,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#20,global_weights_history_1.csv,global_round,2026-04-19 13:05:01,model.global_round,18,aggregate,server,50.0,0.0013580000000000259,0.0028799999999999937,0.0012999999999999678,0.005276999999999976,0.010814999999999964
19,13:05:51,0.95,0.104689,0.297412,0.302628,0.569881,0.495209,20,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#20,global_weights_history_1.csv,global_round,2026-04-19 13:05:51,model.global_round,19,aggregate,server,50.0,0.0012550000000000061,0.00038399999999999546,0.0028489999999999904,0.005145000000000011,0.009633000000000003
20,13:06:41,0.966667,0.058061,0.298212,0.303239,0.573932,0.499914,20,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#20,global_weights_history_1.csv,global_round,2026-04-19 13:06:41,model.global_round,20,aggregate,server,50.0,0.0007999999999999674,0.0006109999999999727,0.004051000000000027,0.004705000000000015,0.010166999999999982
1,13:11:22,0.75,0.864637,0.285884,0.290759,0.540281,0.410789,21,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#21,global_weights_history_1.csv,global_round,2026-04-19 13:11:22,model.global_round,1,aggregate,server,,,,,,0.0
