attempt_id,global_round,accuracy_gateway_A,accuracy_gateway_B,loss_gateway_A,loss_gateway_B,timestamp_dt_gateway_A,timestamp_dt_gateway_B,accuracy_skew_abs,loss_skew_abs,gateway_train_skew_sec,global_accuracy,global_loss
2,12,0.8666666746139526,0.9666666388511658,0.2322805821895599,0.1170989722013473,2026-04-22 17:55:36,2026-04-22 17:55:35,0.09999996423721313,0.11518160998821261,1.0,0.916667,0.17469
2,13,0.8999999761581421,0.9666666388511658,0.1959331929683685,0.047110479325056,2026-04-22 17:56:35,2026-04-22 17:56:35,0.06666666269302368,0.1488227136433125,0.0,0.933333,0.121522
2,14,0.9666666388511658,1.0,0.1506733447313308,0.0052225370891392,2026-04-22 17:57:34,2026-04-22 17:57:34,0.03333336114883423,0.1454508076421916,0.0,0.983333,0.077948
2,15,0.8999999761581421,0.9666666388511658,0.1485199481248855,0.0548461750149726,2026-04-22 17:58:32,2026-04-22 17:58:32,0.06666666269302368,0.0936737731099129,0.0,0.933333,0.101683
2,16,1.0,1.0,0.0387886315584182,0.0605378076434135,2026-04-22 17:59:31,2026-04-22 17:59:31,0.0,0.021749176084995304,0.0,1.0,0.049663
2,17,0.9333333373069764,1.0,0.1585970073938369,0.0138353407382965,2026-04-22 18:00:30,2026-04-22 18:00:29,0.06666666269302357,0.14476166665554038,1.0,0.966667,0.086216
2,18,0.9666666388511658,1.0,0.1944890022277832,0.0150822978466749,2026-04-22 18:01:28,2026-04-22 18:01:29,0.03333336114883423,0.1794067043811083,1.0,0.983333,0.104786
2,19,1.0,1.0,0.0892039164900779,0.0116330198943614,2026-04-22 18:02:27,2026-04-22 18:02:28,0.0,0.0775708965957165,1.0,1.0,0.050418
2,20,0.8999999761581421,1.0,0.2426077276468277,0.0132964691147208,2026-04-22 18:03:26,2026-04-22 18:03:27,0.10000002384185791,0.2293112585321069,1.0,0.95,0.127952
3,1,1.0,1.0,0.3993514776229858,0.2712846100330353,2026-04-22 18:06:56,2026-04-22 18:06:52,0.0,0.1280668675899505,4.0,1.0,0.335318
3,2,1.0,1.0,0.2108054906129837,0.2771733999252319,2026-04-22 18:07:49,2026-04-22 18:07:44,0.0,0.06636790931224817,5.0,1.0,0.243989
3,3,0.9666666388511658,1.0,0.154484361410141,0.0568285062909126,2026-04-22 18:08:53,2026-04-22 18:08:48,0.03333336114883423,0.09765585511922839,5.0,0.983333,0.105656
3,4,0.800000011920929,0.8666666746139526,0.4706498384475708,0.496713250875473,2026-04-22 18:09:51,2026-04-22 18:09:51,0.06666666269302368,0.02606341242790222,0.0,0.833333,0.483682
3,5,0.7333333492279053,0.7333333492279053,0.6056469082832336,0.7343930006027222,2026-04-22 18:10:50,2026-04-22 18:10:50,0.0,0.12874609231948853,0.0,0.733333,0.67002
3,6,0.9333333373069764,0.8666666746139526,0.3142556846141815,0.4341257512569427,2026-04-22 18:11:49,2026-04-22 18:11:48,0.06666666269302379,0.11987006664276117,1.0,0.9,0.374191
3,7,0.9666666388511658,0.8999999761581421,0.1770749986171722,0.3630438446998596,2026-04-22 18:12:47,2026-04-22 18:12:48,0.06666666269302368,0.1859688460826874,1.0,0.933333,0.270059
3,8,0.9333333373069764,0.9333333373069764,0.2251771539449691,0.2240867912769317,2026-04-22 18:13:47,2026-04-22 18:13:46,0.0,0.0010903626680373868,1.0,0.933333,0.224632
3,9,0.800000011920929,0.8666666746139526,0.5245373845100403,0.3990098237991333,2026-04-22 18:14:45,2026-04-22 18:14:45,0.06666666269302368,0.12552756071090698,0.0,0.833333,0.461774
3,10,0.9333333373069764,0.8999999761581421,0.2717945873737335,0.3232838213443756,2026-04-22 18:15:44,2026-04-22 18:15:44,0.03333336114883434,0.05148923397064209,0.0,0.916667,0.297539
3,11,0.9333333373069764,0.9333333373069764,0.1749507784843444,0.1055948957800865,2026-04-22 18:16:43,2026-04-22 18:16:42,0.0,0.0693558827042579,1.0,0.933333,0.140273
3,12,0.9666666388511658,0.9333333373069764,0.2313766926527023,0.2602309584617615,2026-04-22 18:17:41,2026-04-22 18:17:41,0.03333330154418934,0.02885426580905917,0.0,0.95,0.245804
3,13,0.9333333373069764,0.8666666746139526,0.1107759475708007,0.3410219550132751,2026-04-22 18:18:40,2026-04-22 18:18:40,0.06666666269302379,0.2302460074424744,0.0,0.9,0.225899
3,14,0.9666666388511658,1.0,0.1246628537774086,0.0649002492427825,2026-04-22 18:19:38,2026-04-22 18:19:38,0.03333336114883423,0.059762604534626104,0.0,0.983333,0.094782
