experiment,architecture,security,topology,mode,attempt_id,attempt_key,rounds_observed,first_round,last_round,round_completion_rate,last_global_accuracy,best_global_accuracy,avg_global_accuracy,last_global_loss,min_global_loss,avg_global_loss,avg_round_duration_sec,p95_round_duration_sec,max_round_duration_sec,avg_w3_mag_drift,avg_w4_normal_drift,avg_w4_brute_drift,avg_w4_scan_drift
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,4,CNN_FOG_ASCON#4,20,1,20,0.6666666666666666,1.0,1.0,0.9366666499999999,0.071088,0.014089,0.13567915000000003,58.578947368421055,60.39999999999999,64.0,0.005359052631578948,0.011970157894736839,0.018082157894736845,0.018999789473684213
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,5,CNN_FOG_ASCON#5,20,1,20,0.6666666666666666,1.0,1.0,0.9675,0.024727,0.016806,0.1297479,58.78947368421053,61.199999999999996,63.0,0.007200421052631581,0.013323473684210529,0.015106157894736844,0.014185315789473685
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,6,CNN_FOG_ASCON#6,20,1,20,0.6666666666666666,0.95,0.983333,0.8883332999999999,0.150578,0.118967,0.2976895,58.31578947368421,59.099999999999994,60.0,0.006523473684210525,0.014875526315789474,0.017886368421052633,0.014126842105263156
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,7,CNN_FOG_ASCON#7,20,1,20,0.6666666666666666,1.0,1.0,0.9175000499999999,0.03105,0.03105,0.27052875,58.36842105263158,60.0,60.0,0.006631789473684209,0.01627742105263158,0.017505105263157895,0.014593684210526318
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,2,CNN_FOG_NO_ASCON#2,20,1,20,0.6666666666666666,0.95,1.0,0.9049999499999999,0.137464,0.056204,0.29468894999999995,59.63157894736842,69.7999999999996,239.0,0.006228894736842106,0.015853631578947376,0.011787789473684213,0.01725842105263158
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,4,CNN_FOG_NO_ASCON#4,20,1,20,0.6666666666666666,0.966667,1.0,0.93833345,0.070961,0.049561,0.2009881,50.0,50.59999999999999,56.0,0.006778263157894739,0.008227842105263167,0.014117578947368422,0.013413999999999999
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,6,CNN_FOG_NO_ASCON#6,20,1,20,0.6666666666666666,0.916667,0.933333,0.8608333499999998,0.148495,0.148495,0.345,54.94736842105263,59.99999999999979,150.0,0.005097631578947368,0.009691368421052627,0.01336721052631579,0.014758368421052636
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,2,CNN_NO_ASCON#2,20,1,20,0.6666666666666666,0.983333,1.0,0.9241666499999998,0.061129,0.061129,0.27569089999999996,56.31578947368421,63.49999999999973,176.0,0.006662631578947369,0.013873684210526312,0.019917894736842107,0.016391315789473684
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,4,CNN_NO_ASCON#4,20,1,20,0.6666666666666666,1.0,1.0,0.9633333499999999,0.033554,0.020879,0.15308405000000003,50.05263157894737,52.3,55.0,0.0037513684210526317,0.008180894736842106,0.0095,0.007538263157894742
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,6,CNN_NO_ASCON#6,20,1,20,0.6666666666666666,0.833333,0.933333,0.7999999499999999,0.314242,0.188042,0.4809463,49.68421052631579,51.0,51.0,0.0059117894736842105,0.006264684210526318,0.01470136842105263,0.01494021052631579
