experiment,architecture,security,topology,mode,attempt_id,attempt_key,fl_round,round_ref,gateway_count,local_accuracy_min,local_accuracy_max,local_accuracy_skew,local_loss_min,local_loss_max,local_loss_skew,gateway_sync_skew_sec
RN_NO_ASCON,RN,NO_ASCON,standard,plain,19,RN_NO_ASCON#19,16,17.0,2,0.7666666507720947,1.0,0.23333334922790527,0.0104206362739205,0.3207884132862091,0.3103677770122886,7.0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,19,RN_NO_ASCON#19,17,18.0,2,0.9666666388511658,1.0,0.03333336114883423,0.0050541618838906,0.1013957634568214,0.0963416015729308,7.0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,19,RN_NO_ASCON#19,18,19.0,2,0.8666666746139526,1.0,0.13333332538604736,0.0051723276264965,0.2307969480752945,0.225624620448798,8.0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,19,RN_NO_ASCON#19,19,20.0,2,0.8666666746139526,1.0,0.13333332538604736,0.0041766236536204,0.2027404904365539,0.1985638667829335,7.0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,20,RN_NO_ASCON#20,0,1.0,2,0.7666666507720947,0.8333333134651184,0.06666666269302368,0.5907720923423767,0.6847422122955322,0.09397011995315552,0.0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,20,RN_NO_ASCON#20,1,2.0,2,0.9333333373069764,0.9333333373069764,0.0,0.1511905193328857,0.3702499568462372,0.2190594375133515,0.0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,20,RN_NO_ASCON#20,2,3.0,2,0.9666666388511658,1.0,0.03333336114883423,0.031784538179636,0.1711474508047104,0.1393629126250744,0.0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,20,RN_NO_ASCON#20,3,4.0,2,1.0,1.0,0.0,0.014881893992424,0.0208569094538688,0.005975015461444799,0.0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,20,RN_NO_ASCON#20,4,5.0,2,0.9666666388511658,1.0,0.03333336114883423,0.0150787141174077,0.0479411147534847,0.032862400636077,7.0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,20,RN_NO_ASCON#20,5,6.0,2,0.8333333134651184,1.0,0.1666666865348816,0.0227403938770294,0.5721103549003601,0.5493699610233307,7.0
