experiment,architecture,security,topology,mode,attempt_id,attempt_key,round_ref,global_accuracy,global_loss,round_duration_sec,local_gateway_count,local_train_events,local_accuracy_avg,local_loss_avg,local_samples_total,fog_fedavg_events,fog_accuracy_avg,fog_loss_avg,edge_rpi_events,edge_rpi_p95_ms,edge_rpi_avg_wire_bytes,rpi_pc_events,rpi_pc_p95_ms,rpi_pc_avg_wire_bytes,pc_rpi_events,pc_rpi_p95_ms,pc_rpi_avg_wire_bytes,total_transport_events,total_transport_p95_ms
CNN_ASCON,CNN,ASCON,standard,ascon,2,CNN_ASCON#2,17,0.95,0.143368,59.0,2.0,2.0,0.949999988079071,0.14336821064352986,60.0,,,,60.0,4.44445,231.66666666666666,2,14.20325,4962.0,1,12.867,4822.0,69,34.75699999999999
CNN_ASCON,CNN,ASCON,standard,ascon,2,CNN_ASCON#2,18,0.95,0.105174,59.0,2.0,2.0,0.949999988079071,0.10517359152436251,60.0,,,,60.0,4.50375,229.73333333333332,2,20.82445,4978.0,1,11.416,4822.0,69,33.878999999999984
CNN_ASCON,CNN,ASCON,standard,ascon,2,CNN_ASCON#2,19,0.966667,0.100995,59.0,2.0,2.0,0.9666666388511658,0.1009954251348972,60.0,,,,60.0,4.6255,230.4,2,14.67435,4968.0,1,14.569,4798.0,69,33.43099999999998
CNN_ASCON,CNN,ASCON,standard,ascon,2,CNN_ASCON#2,20,0.983333,0.034544,58.0,2.0,2.0,0.9833333194255829,0.03454355802386995,60.0,,,,60.0,4.9232,230.46666666666667,2,12.952350000000001,4958.0,1,21.572,4806.0,69,34.2758
CNN_ASCON,CNN,ASCON,standard,ascon,3,CNN_ASCON#3,1,0.966667,0.519715,,2.0,2.0,0.9666666686534882,0.5197153389453888,60.0,,,,65.0,4.3191999999999995,233.30769230769232,2,15.319,4994.0,1,18.587,4862.0,72,24.162050000000036
CNN_ASCON,CNN,ASCON,standard,ascon,3,CNN_ASCON#3,2,1.0,0.158193,53.0,2.0,2.0,1.0,0.1581934094429016,60.0,,,,57.0,4.5806,233.6315789473684,2,15.17,4972.0,1,14.882,4842.0,66,33.486000000000004
CNN_ASCON,CNN,ASCON,standard,ascon,3,CNN_ASCON#3,3,1.0,0.035118,64.0,2.0,2.0,1.0,0.035118034109473145,60.0,,,,59.0,4.5291999999999994,234.76271186440678,2,10.98145,4964.0,1,14.105,4846.0,68,32.28485
CNN_ASCON,CNN,ASCON,standard,ascon,3,CNN_ASCON#3,4,0.8,0.706719,58.0,2.0,2.0,0.7999999821186066,0.7067188620567322,60.0,,,,60.0,4.4030499999999995,229.53333333333333,2,10.82475,4998.0,1,11.358,4838.0,69,33.25819999999999
CNN_ASCON,CNN,ASCON,standard,ascon,3,CNN_ASCON#3,5,0.866667,0.333385,60.0,2.0,2.0,0.8666666746139526,0.33338462561368937,60.0,,,,61.0,4.483,232.80327868852459,2,11.48055,4980.0,1,10.769,4842.0,70,34.769949999999994
CNN_ASCON,CNN,ASCON,standard,ascon,3,CNN_ASCON#3,6,0.866667,0.39406,59.0,2.0,2.0,0.8666666448116302,0.3940598666667938,60.0,,,,60.0,4.41865,231.46666666666667,2,13.7196,5000.0,1,10.22,4834.0,69,34.54399999999999
