experiment,architecture,security,topology,mode,attempt_id,attempt_key,attempt_dir,transport_files,model_metric_files,global_history_files,csv_files_total,pdf_files
RN_NO_ASCON,RN,NO_ASCON,standard,plain,17,RN_NO_ASCON#17,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-RN\Results\#17,3,2,1,6,0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,18,RN_NO_ASCON#18,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-RN\Results\#18,3,2,1,6,0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,19,RN_NO_ASCON#19,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-RN\Results\#19,3,2,1,6,0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,20,RN_NO_ASCON#20,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-RN\Results\#20,3,2,1,6,0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,21,RN_NO_ASCON#21,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-RN\Results\#21,3,2,1,6,0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,22,RN_NO_ASCON#22,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-RN\Results\#22,3,2,1,6,0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,23,RN_NO_ASCON#23,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-RN\Results\#23,3,2,1,6,0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,24,RN_NO_ASCON#24,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-RN\Results\#24,3,2,1,6,0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,25,RN_NO_ASCON#25,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-RN\Results\#25,3,2,1,6,0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,26,RN_NO_ASCON#26,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-RN\Results\#26,3,2,1,6,0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,27,RN_NO_ASCON#27,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-RN\Results\#27,3,2,1,6,0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,28,RN_NO_ASCON#28,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-RN\Results\#28,3,2,1,6,0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,29,RN_NO_ASCON#29,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-RN\Results\#29,3,2,1,6,0
RN_FOG_NO_ASCON,RN,NO_ASCON,fog,plain,2,RN_FOG_NO_ASCON#2,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-RN\Results_FOG\#2,3,2,1,6,0
RN_FOG_NO_ASCON,RN,NO_ASCON,fog,plain,3,RN_FOG_NO_ASCON#3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-RN\Results_FOG\#3,3,2,1,6,0
RN_FOG_NO_ASCON,RN,NO_ASCON,fog,plain,4,RN_FOG_NO_ASCON#4,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-RN\Results_FOG\#4,3,2,1,6,0
