experiment,architecture,security,topology,mode,attempt_id,device_suffix,class_name,samples_seen,pct_within_gateway_attempt
RN_ASCON,RN,ASCON,standard,ascon,7,gateway_A,mqtt_bruteforce,37,5.606060606060606
RN_ASCON,RN,ASCON,standard,ascon,7,gateway_A,normal,519,78.63636363636364
RN_ASCON,RN,ASCON,standard,ascon,7,gateway_A,scan_A,44,6.666666666666667
RN_ASCON,RN,ASCON,standard,ascon,7,gateway_A,unknown,60,9.090909090909092
RN_ASCON,RN,ASCON,standard,ascon,7,gateway_B,normal,606,90.990990990991
RN_ASCON,RN,ASCON,standard,ascon,7,gateway_B,unknown,60,9.00900900900901
RN_ASCON,RN,ASCON,standard,ascon,8,gateway_A,mqtt_bruteforce,46,6.948640483383686
RN_ASCON,RN,ASCON,standard,ascon,8,gateway_A,normal,516,77.94561933534743
RN_ASCON,RN,ASCON,standard,ascon,8,gateway_A,scan_A,40,6.042296072507553
RN_ASCON,RN,ASCON,standard,ascon,8,gateway_A,unknown,60,9.06344410876133
RN_ASCON,RN,ASCON,standard,ascon,8,gateway_B,normal,602,90.93655589123867
RN_ASCON,RN,ASCON,standard,ascon,8,gateway_B,unknown,60,9.06344410876133
RN_ASCON,RN,ASCON,standard,ascon,9,gateway_A,mqtt_bruteforce,48,7.2727272727272725
RN_ASCON,RN,ASCON,standard,ascon,9,gateway_A,normal,507,76.81818181818181
RN_ASCON,RN,ASCON,standard,ascon,9,gateway_A,scan_A,45,6.8181818181818175
RN_ASCON,RN,ASCON,standard,ascon,9,gateway_A,unknown,60,9.090909090909092
RN_ASCON,RN,ASCON,standard,ascon,9,gateway_B,mqtt_bruteforce,53,8.030303030303031
RN_ASCON,RN,ASCON,standard,ascon,9,gateway_B,normal,513,77.72727272727272
RN_ASCON,RN,ASCON,standard,ascon,9,gateway_B,scan_A,34,5.151515151515151
RN_ASCON,RN,ASCON,standard,ascon,9,gateway_B,unknown,60,9.090909090909092
RN_ASCON,RN,ASCON,standard,ascon,10,gateway_A,mqtt_bruteforce,39,5.909090909090909
RN_ASCON,RN,ASCON,standard,ascon,10,gateway_A,normal,521,78.93939393939394
RN_ASCON,RN,ASCON,standard,ascon,10,gateway_A,scan_A,40,6.0606060606060606
RN_ASCON,RN,ASCON,standard,ascon,10,gateway_A,unknown,60,9.090909090909092
RN_ASCON,RN,ASCON,standard,ascon,10,gateway_B,mqtt_bruteforce,40,6.051437216338881
RN_ASCON,RN,ASCON,standard,ascon,10,gateway_B,normal,527,79.72768532526476
RN_ASCON,RN,ASCON,standard,ascon,10,gateway_B,scan_A,34,5.143721633888049
RN_ASCON,RN,ASCON,standard,ascon,10,gateway_B,unknown,60,9.07715582450832
RN_ASCON,RN,ASCON,standard,ascon,11,gateway_A,normal,600,90.9090909090909
RN_ASCON,RN,ASCON,standard,ascon,11,gateway_A,unknown,60,9.090909090909092
RN_ASCON,RN,ASCON,standard,ascon,11,gateway_B,mqtt_bruteforce,46,6.93815987933635
RN_ASCON,RN,ASCON,standard,ascon,11,gateway_B,normal,506,76.31975867269985
RN_ASCON,RN,ASCON,standard,ascon,11,gateway_B,scan_A,51,7.6923076923076925
RN_ASCON,RN,ASCON,standard,ascon,11,gateway_B,unknown,60,9.049773755656108
RN_ASCON,RN,ASCON,standard,ascon,12,gateway_A,mqtt_bruteforce,79,8.47639484978541
RN_ASCON,RN,ASCON,standard,ascon,12,gateway_A,normal,699,75.0
RN_ASCON,RN,ASCON,standard,ascon,12,gateway_A,scan_A,72,7.725321888412018
RN_ASCON,RN,ASCON,standard,ascon,12,gateway_A,unknown,82,8.798283261802576
RN_ASCON,RN,ASCON,standard,ascon,12,gateway_B,mqtt_bruteforce,66,7.104413347685684
RN_ASCON,RN,ASCON,standard,ascon,12,gateway_B,normal,717,77.17976318622173
RN_ASCON,RN,ASCON,standard,ascon,12,gateway_B,scan_A,64,6.8891280947255105
RN_ASCON,RN,ASCON,standard,ascon,12,gateway_B,unknown,82,8.826695371367062
RN_ASCON,RN,ASCON,standard,ascon,13,gateway_A,mqtt_bruteforce,46,6.0606060606060606
RN_ASCON,RN,ASCON,standard,ascon,13,gateway_A,normal,596,78.52437417654808
RN_ASCON,RN,ASCON,standard,ascon,13,gateway_A,scan_A,54,7.114624505928854
RN_ASCON,RN,ASCON,standard,ascon,13,gateway_A,unknown,63,8.300395256916996
RN_ASCON,RN,ASCON,standard,ascon,13,gateway_B,mqtt_bruteforce,46,6.068601583113456
RN_ASCON,RN,ASCON,standard,ascon,13,gateway_B,normal,596,78.62796833773086
RN_ASCON,RN,ASCON,standard,ascon,13,gateway_B,scan_A,53,6.992084432717678
RN_ASCON,RN,ASCON,standard,ascon,13,gateway_B,unknown,63,8.311345646437996
RN_ASCON,RN,ASCON,standard,ascon,14,gateway_A,mqtt_bruteforce,45,5.9445178335535
RN_ASCON,RN,ASCON,standard,ascon,14,gateway_A,normal,589,77.80713342140027
RN_ASCON,RN,ASCON,standard,ascon,14,gateway_A,scan_A,56,7.397622192866579
RN_ASCON,RN,ASCON,standard,ascon,14,gateway_A,unknown,67,8.850726552179657
RN_ASCON,RN,ASCON,standard,ascon,14,gateway_B,mqtt_bruteforce,45,5.936675461741425
RN_ASCON,RN,ASCON,standard,ascon,14,gateway_B,normal,583,76.91292875989446
RN_ASCON,RN,ASCON,standard,ascon,14,gateway_B,scan_A,63,8.311345646437996
RN_ASCON,RN,ASCON,standard,ascon,14,gateway_B,unknown,67,8.839050131926122
RN_ASCON,RN,ASCON,standard,ascon,15,gateway_A,mqtt_bruteforce,88,7.885304659498208
RN_ASCON,RN,ASCON,standard,ascon,15,gateway_A,normal,871,78.04659498207886
