timestamp,device_name,device_suffix,hostname,run_id,stage,fl_round,num_samples,accuracy,loss,buffer_target,experiment,architecture,mode,attempt_id,source_file,fog_role,peer_count
2026-04-15 13:40:01,gateway,gateway_B,gatewayB,1,local_train,6,30,0.800000011920929,0.5152953267097473,30.0,RN_ASCON,RN,ascon,3,model_metrics_gateway_gateway_B_2.csv,,
2026-04-15 13:41:00,gateway,gateway_B,gatewayB,1,local_train,7,30,0.8666666746139526,0.334399551153183,30.0,RN_ASCON,RN,ascon,3,model_metrics_gateway_gateway_B_2.csv,,
2026-04-15 13:41:59,gateway,gateway_B,gatewayB,1,local_train,8,30,0.8999999761581421,0.2124364525079727,30.0,RN_ASCON,RN,ascon,3,model_metrics_gateway_gateway_B_2.csv,,
2026-04-15 13:42:58,gateway,gateway_B,gatewayB,1,local_train,9,30,0.8666666746139526,0.2796331346035003,30.0,RN_ASCON,RN,ascon,3,model_metrics_gateway_gateway_B_2.csv,,
2026-04-15 13:43:57,gateway,gateway_B,gatewayB,1,local_train,10,30,0.8666666746139526,0.2944017350673675,30.0,RN_ASCON,RN,ascon,3,model_metrics_gateway_gateway_B_2.csv,,
2026-04-15 13:44:56,gateway,gateway_B,gatewayB,1,local_train,11,30,0.8333333134651184,0.5400710701942444,30.0,RN_ASCON,RN,ascon,3,model_metrics_gateway_gateway_B_2.csv,,
2026-04-15 13:45:55,gateway,gateway_B,gatewayB,1,local_train,12,30,0.9666666388511658,0.1308700442314148,30.0,RN_ASCON,RN,ascon,3,model_metrics_gateway_gateway_B_2.csv,,
2026-04-15 13:46:54,gateway,gateway_B,gatewayB,1,local_train,13,30,0.8999999761581421,0.1660375446081161,30.0,RN_ASCON,RN,ascon,3,model_metrics_gateway_gateway_B_2.csv,,
2026-04-15 13:47:53,gateway,gateway_B,gatewayB,1,local_train,14,30,0.8333333134651184,0.182211086153984,30.0,RN_ASCON,RN,ascon,3,model_metrics_gateway_gateway_B_2.csv,,
2026-04-15 13:48:52,gateway,gateway_B,gatewayB,1,local_train,15,30,0.8999999761581421,0.2026298195123672,30.0,RN_ASCON,RN,ascon,3,model_metrics_gateway_gateway_B_2.csv,,
2026-04-15 13:49:51,gateway,gateway_B,gatewayB,1,local_train,16,30,0.9333333373069764,0.245778277516365,30.0,RN_ASCON,RN,ascon,3,model_metrics_gateway_gateway_B_2.csv,,
2026-04-15 13:50:49,gateway,gateway_B,gatewayB,1,local_train,17,30,0.8666666746139526,0.2791094779968261,30.0,RN_ASCON,RN,ascon,3,model_metrics_gateway_gateway_B_2.csv,,
2026-04-15 13:51:48,gateway,gateway_B,gatewayB,1,local_train,18,30,0.8999999761581421,0.2684263586997986,30.0,RN_ASCON,RN,ascon,3,model_metrics_gateway_gateway_B_2.csv,,
2026-04-15 13:52:47,gateway,gateway_B,gatewayB,1,local_train,19,30,0.8999999761581421,0.184416577219963,30.0,RN_ASCON,RN,ascon,3,model_metrics_gateway_gateway_B_2.csv,,
2026-04-15 13:53:47,gateway,gateway_B,gatewayB,1,local_train,20,30,0.8999999761581421,0.1796846687793731,30.0,RN_ASCON,RN,ascon,3,model_metrics_gateway_gateway_B_2.csv,,
2026-04-15 13:54:46,gateway,gateway_B,gatewayB,1,local_train,21,30,0.9333333373069764,0.196549504995346,30.0,RN_ASCON,RN,ascon,3,model_metrics_gateway_gateway_B_2.csv,,
2026-04-15 13:55:45,gateway,gateway_B,gatewayB,1,local_train,22,30,0.9333333373069764,0.142527163028717,30.0,RN_ASCON,RN,ascon,3,model_metrics_gateway_gateway_B_2.csv,,
2026-04-15 13:56:44,gateway,gateway_B,gatewayB,1,local_train,23,30,0.8666666746139526,0.350064605474472,30.0,RN_ASCON,RN,ascon,3,model_metrics_gateway_gateway_B_2.csv,,
2026-04-15 13:57:43,gateway,gateway_B,gatewayB,1,local_train,24,30,0.9666666388511658,0.1392418593168258,30.0,RN_ASCON,RN,ascon,3,model_metrics_gateway_gateway_B_2.csv,,
2026-04-15 13:58:41,gateway,gateway_B,gatewayB,1,local_train,25,30,1.0,0.0813494399189949,30.0,RN_ASCON,RN,ascon,3,model_metrics_gateway_gateway_B_2.csv,,
2026-04-15 13:59:41,gateway,gateway_B,gatewayB,1,local_train,26,30,0.9666666388511658,0.1402409970760345,30.0,RN_ASCON,RN,ascon,3,model_metrics_gateway_gateway_B_2.csv,,
2026-04-15 14:00:39,gateway,gateway_B,gatewayB,1,local_train,27,30,0.9666666388511658,0.1009245812892913,30.0,RN_ASCON,RN,ascon,3,model_metrics_gateway_gateway_B_2.csv,,
2026-04-15 14:01:38,gateway,gateway_B,gatewayB,1,local_train,28,30,0.8999999761581421,0.2963253259658813,30.0,RN_ASCON,RN,ascon,3,model_metrics_gateway_gateway_B_2.csv,,
2026-04-15 14:02:39,gateway,gateway_B,gatewayB,1,local_train,29,30,0.8999999761581421,0.2518158555030823,30.0,RN_ASCON,RN,ascon,3,model_metrics_gateway_gateway_B_2.csv,,
