timestamp,uptime_s,device_name,device_suffix,hostname,run_id,channel,operation,pt_bytes,enc_bytes,overhead_bytes,elapsed_ms,fl_round,client_id,sample_label,sample_label_name,attempt_id,attempt_dir,source_file,source_scope,timestamp_dt,event_type,round_ref,gateway_id,node_id,event_name,status,trace_id,stage,num_samples,accuracy,loss,buffer_target,round,time,w3_mag,w4_normal,w4_brute,w4_scan
13:30:20.035,72.9,gateway,gateway_A,raspberrypi,2.0,ESP32->RPi,decrypt,121.0,241.0,120.0,4.201,0.0,esp32_edge_normal_2,0.0,normal,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,ascon_metrics_gateway_gateway_A_2.csv,gateway_transport,2026-04-15 13:30:20.035,transport.crypto,1,gateway_A,gateway_A,transport.crypto.gateway,reconstructed_from_csv,attempt:3:round:1,,,,,,,,,,,
13:30:20.071,54.6,gateway,gateway_B,gatewayB,2.0,ESP32->RPi,decrypt,118.0,237.0,119.0,4.011,0.0,esp32_edge_normal_2,0.0,normal,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,ascon_metrics_gateway_gateway_B_2.csv,gateway_transport,2026-04-15 13:30:20.071,transport.crypto,1,gateway_B,gateway_B,transport.crypto.gateway,reconstructed_from_csv,attempt:3:round:1,,,,,,,,,,,
13:30:20.103,54.7,gateway,gateway_B,gatewayB,2.0,ESP32->RPi,decrypt,121.0,241.0,120.0,4.262,0.0,esp32_edge_normal_3,0.0,normal,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,ascon_metrics_gateway_gateway_B_2.csv,gateway_transport,2026-04-15 13:30:20.103,transport.crypto,1,gateway_B,gateway_B,transport.crypto.gateway,reconstructed_from_csv,attempt:3:round:1,,,,,,,,,,,
13:30:22.214,75.1,gateway,gateway_A,raspberrypi,2.0,ESP32->RPi,decrypt,117.0,233.0,116.0,1.423,0.0,esp32_edge_normal_1,0.0,normal,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,ascon_metrics_gateway_gateway_A_2.csv,gateway_transport,2026-04-15 13:30:22.214,transport.crypto,1,gateway_A,gateway_A,transport.crypto.gateway,reconstructed_from_csv,attempt:3:round:1,,,,,,,,,,,
13:30:23.447,58.0,gateway,gateway_B,gatewayB,2.0,ESP32->RPi,decrypt,119.0,237.0,118.0,3.944,0.0,esp32_edge_normal_1,0.0,normal,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,ascon_metrics_gateway_gateway_B_2.csv,gateway_transport,2026-04-15 13:30:23.447,transport.crypto,1,gateway_B,gateway_B,transport.crypto.gateway,reconstructed_from_csv,attempt:3:round:1,,,,,,,,,,,
13:30:25.003,77.9,gateway,gateway_A,raspberrypi,2.0,ESP32->RPi,decrypt,117.0,233.0,116.0,1.44,0.0,esp32_edge_normal_3,0.0,normal,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,ascon_metrics_gateway_gateway_A_2.csv,gateway_transport,2026-04-15 13:30:25.003,transport.crypto,1,gateway_A,gateway_A,transport.crypto.gateway,reconstructed_from_csv,attempt:3:round:1,,,,,,,,,,,
13:30:25.028,77.9,gateway,gateway_A,raspberrypi,2.0,ESP32->RPi,decrypt,115.0,233.0,118.0,1.395,0.0,esp32_edge_normal_2,0.0,normal,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,ascon_metrics_gateway_gateway_A_2.csv,gateway_transport,2026-04-15 13:30:25.028,transport.crypto,1,gateway_A,gateway_A,transport.crypto.gateway,reconstructed_from_csv,attempt:3:round:1,,,,,,,,,,,
13:30:25.069,59.6,gateway,gateway_B,gatewayB,2.0,ESP32->RPi,decrypt,117.0,233.0,116.0,4.238,0.0,esp32_edge_normal_2,0.0,normal,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,ascon_metrics_gateway_gateway_B_2.csv,gateway_transport,2026-04-15 13:30:25.069,transport.crypto,1,gateway_B,gateway_B,transport.crypto.gateway,reconstructed_from_csv,attempt:3:round:1,,,,,,,,,,,
13:30:25.102,59.7,gateway,gateway_B,gatewayB,2.0,ESP32->RPi,decrypt,116.0,233.0,117.0,4.124,0.0,esp32_edge_normal_3,0.0,normal,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,ascon_metrics_gateway_gateway_B_2.csv,gateway_transport,2026-04-15 13:30:25.102,transport.crypto,1,gateway_B,gateway_B,transport.crypto.gateway,reconstructed_from_csv,attempt:3:round:1,,,,,,,,,,,
13:30:27.175,80.0,gateway,gateway_A,raspberrypi,2.0,ESP32->RPi,decrypt,112.0,229.0,117.0,4.114,0.0,esp32_edge_normal_1,0.0,normal,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,ascon_metrics_gateway_gateway_A_2.csv,gateway_transport,2026-04-15 13:30:27.175,transport.crypto,1,gateway_A,gateway_A,transport.crypto.gateway,reconstructed_from_csv,attempt:3:round:1,,,,,,,,,,,
