attempt_id,global_round,accuracy_gateway_A,accuracy_gateway_B,loss_gateway_A,loss_gateway_B,timestamp_dt_gateway_A,timestamp_dt_gateway_B,accuracy_skew_abs,loss_skew_abs,gateway_train_skew_sec,global_accuracy,global_loss
3,16,0.8333333134651184,0.8999999761581421,0.3670010268688202,0.2026298195123672,2026-04-15 13:48:48,2026-04-15 13:48:52,0.06666666269302368,0.164371207356453,4.0,0.866667,0.284815
3,17,0.9333333373069764,0.9333333373069764,0.2288724482059478,0.245778277516365,2026-04-15 13:49:47,2026-04-15 13:49:51,0.0,0.016905829310417203,4.0,0.933333,0.237325
3,18,0.8999999761581421,0.8666666746139526,0.2067589610815048,0.2791094779968261,2026-04-15 13:50:45,2026-04-15 13:50:49,0.03333330154418945,0.07235051691532132,4.0,0.883333,0.242934
3,19,0.8333333134651184,0.8999999761581421,0.3577796518802643,0.2684263586997986,2026-04-15 13:51:43,2026-04-15 13:51:48,0.06666666269302368,0.0893532931804657,5.0,0.866667,0.313103
3,20,0.7333333492279053,0.8999999761581421,0.3876812756061554,0.184416577219963,2026-04-15 13:52:43,2026-04-15 13:52:47,0.16666662693023682,0.2032646983861924,4.0,0.816667,0.286049
3,21,0.8999999761581421,0.8999999761581421,0.1882566958665847,0.1796846687793731,2026-04-15 13:53:42,2026-04-15 13:53:47,0.0,0.008572027087211581,5.0,0.9,0.183971
3,22,0.8333333134651184,0.9333333373069764,0.2701002359390259,0.196549504995346,2026-04-15 13:54:41,2026-04-15 13:54:46,0.10000002384185802,0.07355073094367987,5.0,0.883333,0.233325
3,23,0.8666666746139526,0.9333333373069764,0.1867788881063461,0.142527163028717,2026-04-15 13:55:40,2026-04-15 13:55:45,0.06666666269302379,0.04425172507762909,5.0,0.9,0.164653
3,24,0.8999999761581421,0.8666666746139526,0.1688563674688339,0.350064605474472,2026-04-15 13:56:39,2026-04-15 13:56:44,0.03333330154418945,0.1812082380056381,5.0,0.883333,0.25946
3,25,0.8999999761581421,0.9666666388511658,0.1650479286909103,0.1392418593168258,2026-04-15 13:57:38,2026-04-15 13:57:43,0.06666666269302368,0.0258060693740845,5.0,0.933333,0.152145
3,26,0.9666666388511658,1.0,0.1786053329706192,0.0813494399189949,2026-04-15 13:58:37,2026-04-15 13:58:41,0.03333336114883423,0.0972558930516243,4.0,0.983333,0.129977
3,27,0.9333333373069764,0.9666666388511658,0.1983518600463867,0.1402409970760345,2026-04-15 13:59:36,2026-04-15 13:59:41,0.03333330154418934,0.0581108629703522,5.0,0.95,0.169296
3,28,0.9333333373069764,0.9666666388511658,0.1471989750862121,0.1009245812892913,2026-04-15 14:00:35,2026-04-15 14:00:39,0.03333330154418934,0.046274393796920804,4.0,0.95,0.124062
3,29,0.9333333373069764,0.8999999761581421,0.1001088246703147,0.2963253259658813,2026-04-15 14:01:34,2026-04-15 14:01:38,0.03333336114883434,0.1962165012955666,4.0,0.916667,0.198217
3,30,0.9333333373069764,0.8999999761581421,0.1777136772871017,0.2518158555030823,2026-04-15 14:02:34,2026-04-15 14:02:39,0.03333336114883434,0.07410217821598059,5.0,0.916667,0.214765
4,1,0.6666666865348816,0.6666666865348816,0.8778215050697327,0.8518619537353516,2026-04-15 15:07:21,2026-04-15 15:07:21,0.0,0.025959551334381104,0.0,0.666667,0.864842
4,2,0.9333333373069764,0.9333333373069764,0.1583544760942459,0.1560298055410385,2026-04-15 15:08:15,2026-04-15 15:08:15,0.0,0.0023246705532073975,0.0,0.933333,0.157192
