trace_id,attempt_id,global_round,global_timestamp,global_accuracy,global_loss,w3_mag,w4_normal,w4_brute,w4_scan,gateway_A_local_accuracy,gateway_A_local_loss,gateway_A_local_num_samples,gateway_A_local_timestamp,gateway_A_gateway_events,gateway_A_gateway_decrypt_avg_ms,gateway_A_gateway_decrypt_p95_ms,gateway_A_gateway_avg_overhead_bytes,gateway_A_gateway_samples_seen,gateway_A_fog_accuracy,gateway_A_fog_loss,gateway_A_fog_num_samples,gateway_A_fog_peer_count,gateway_A_fog_timestamp,gateway_B_local_accuracy,gateway_B_local_loss,gateway_B_local_num_samples,gateway_B_local_timestamp,gateway_B_gateway_events,gateway_B_gateway_decrypt_avg_ms,gateway_B_gateway_decrypt_p95_ms,gateway_B_gateway_avg_overhead_bytes,gateway_B_gateway_samples_seen,server_rpi_pc_events,server_rpi_pc_avg_ms,server_rpi_pc_p95_ms,server_rpi_pc_avg_overhead_bytes,server_pc_rpi_events,server_pc_rpi_avg_ms,server_pc_rpi_p95_ms,server_pc_rpi_avg_overhead_bytes
attempt:3:round:1,3,1,2026-04-22 18:06:56,1.0,0.335318,0.18181,0.176702,0.374074,0.195656,1.0,0.3993514776229858,30,2026-04-22 18:06:56,33.0,5.274636363636363,33.632,224.8181818181818,30.0,1.0,0.3353180438280105,60,2.0,2026-04-22 18:06:56,1.0,0.2712846100330353,30,2026-04-22 18:06:52,38.0,6.3631315789473675,10.280749999999957,179.07894736842104,36.0,1.0,12.056,12.056,1334.0,1.0,12.127,12.127,1282.0
attempt:3:round:2,3,2,2026-04-22 18:07:49,1.0,0.243989,0.198929,0.220723,0.442523,0.265698,1.0,0.2108054906129837,30,2026-04-22 18:07:49,35.0,7.348085714285714,33.5498,284.57142857142856,30.0,1.0,0.2439894452691078,60,2.0,2026-04-22 18:07:49,1.0,0.2771733999252319,30,2026-04-22 18:07:44,30.0,6.017899999999999,32.830749999999995,234.03333333333333,27.0,1.0,12.33,12.33,1325.0,1.0,12.126,12.126,1273.0
attempt:3:round:3,3,3,2026-04-22 18:08:53,0.983333,0.105656,0.217777,0.278238,0.486137,0.331139,0.9666666388511658,0.154484361410141,30,2026-04-22 18:08:53,35.0,6.517,33.414799999999985,284.62857142857143,30.0,0.9833333194255828,0.1056564338505268,60,2.0,2026-04-22 18:08:53,1.0,0.0568285062909126,30,2026-04-22 18:08:48,32.0,7.36215625,33.97109999999999,227.125,29.0,1.0,12.285,12.285,1333.0,1.0,10.884,10.884,1280.0
attempt:3:round:4,3,4,2026-04-22 18:09:51,0.833333,0.483682,0.215437,0.272886,0.49692,0.331684,0.800000011920929,0.4706498384475708,30,2026-04-22 18:09:51,35.0,7.179942857142858,35.7953,284.42857142857144,30.0,0.8333333432674408,0.4836815446615219,60,2.0,2026-04-22 18:09:51,0.8666666746139526,0.496713250875473,30,2026-04-22 18:09:51,33.0,5.451878787878788,35.822399999999995,223.1818181818182,30.0,1.0,11.782,11.782,1335.0,1.0,20.499,20.499,1277.0
attempt:3:round:5,3,5,2026-04-22 18:10:50,0.733333,0.67002,0.213853,0.254287,0.500141,0.298368,0.7333333492279053,0.6056469082832336,30,2026-04-22 18:10:50,35.0,7.653200000000001,35.4564,284.6,30.0,0.7333333492279053,0.6700199544429779,60,2.0,2026-04-22 18:10:50,0.7333333492279053,0.7343930006027222,30,2026-04-22 18:10:50,33.0,6.175272727272729,33.9794,222.78787878787878,30.0,1.0,14.455,14.455,1330.0,1.0,10.775,10.775,1276.0
attempt:3:round:6,3,6,2026-04-22 18:11:49,0.9,0.374191,0.222211,0.260885,0.548562,0.311213,0.9333333373069764,0.3142556846141815,30,2026-04-22 18:11:49,35.0,7.7739714285714285,37.2807,284.0,30.0,0.9000000059604645,0.3741907179355621,60,2.0,2026-04-22 18:11:49,0.8666666746139526,0.4341257512569427,30,2026-04-22 18:11:48,33.0,7.907727272727272,38.2822,222.3030303030303,30.0,1.0,12.239,12.239,1332.0,1.0,14.87,14.87,1275.0
attempt:3:round:7,3,7,2026-04-22 18:12:48,0.933333,0.270059,0.235056,0.279128,0.593792,0.338527,0.9666666388511658,0.1770749986171722,30,2026-04-22 18:12:47,36.0,7.107111111111111,37.195750000000004,279.75,31.0,0.933333307504654,0.2700594216585159,60,2.0,2026-04-22 18:12:48,0.8999999761581421,0.3630438446998596,30,2026-04-22 18:12:48,33.0,6.660151515151515,35.337599999999995,222.6060606060606,30.0,1.0,10.456,10.456,1327.0,1.0,10.081,10.081,1274.0
attempt:3:round:8,3,8,2026-04-22 18:13:47,0.933333,0.224632,0.24237,0.287364,0.623214,0.35438,0.9333333373069764,0.2251771539449691,30,2026-04-22 18:13:47,34.0,7.0582352941176465,34.047,288.94117647058823,29.0,0.9333333373069764,0.2246319726109504,60,2.0,2026-04-22 18:13:47,0.9333333373069764,0.2240867912769317,30,2026-04-22 18:13:46,33.0,5.962363636363635,33.4066,222.3030303030303,30.0,1.0,10.743,10.743,1332.0,1.0,14.837,14.837,1275.0
attempt:3:round:9,3,9,2026-04-22 18:14:45,0.833333,0.461774,0.247271,0.282684,0.638806,0.351121,0.800000011920929,0.5245373845100403,30,2026-04-22 18:14:45,35.0,7.001314285714286,35.85059999999999,283.34285714285716,30.0,0.8333333432674408,0.4617736041545868,60,2.0,2026-04-22 18:14:45,0.8666666746139526,0.3990098237991333,30,2026-04-22 18:14:45,33.0,4.9493636363636355,33.19539999999999,222.12121212121212,30.0,1.0,11.133,11.133,1323.0,1.0,10.235,10.235,1265.0
attempt:3:round:10,3,10,2026-04-22 18:15:44,0.916667,0.297539,0.257072,0.296704,0.658183,0.366685,0.9333333373069764,0.2717945873737335,30,2026-04-22 18:15:44,35.0,7.224857142857143,36.72859999999999,283.57142857142856,30.0,0.9166666567325592,0.2975392043590545,60,2.0,2026-04-22 18:15:44,0.8999999761581421,0.3232838213443756,30,2026-04-22 18:15:44,33.0,5.50969696969697,33.4932,222.63636363636363,30.0,1.0,11.076,11.076,1331.0,1.0,14.67,14.67,1277.0
