variant,model,security,topology,attempt_id,device_suffix,rounds_seen,avg_accuracy,std_accuracy,min_accuracy,max_accuracy,avg_loss,std_loss,min_loss,max_loss,avg_num_samples,avg_buffer_target
CNN_PLAIN_FOG,CNN,PLAIN,FOG,6,gateway_fog_peer,20.0,0.851515144109726,0.11269304873798396,0.5333333611488342,0.9666666388511658,0.3443862585858865,0.20058088077407002,0.0923428982496261,0.8171405792236328,30.0,30.0
CNN_PLAIN_NoFOG,CNN,PLAIN,NoFOG,2,gateway_A,20.0,0.9149999916553497,0.07708220134797632,0.7333333492279053,1.0,0.3027078460901976,0.19649282389677264,0.0617242902517318,0.7168005704879761,30.0,30.0
CNN_PLAIN_NoFOG,CNN,PLAIN,NoFOG,2,gateway_B,20.0,0.9333333253860474,0.05374838732979001,0.8333333134651184,1.0,0.24867400247603655,0.16930727651865848,0.0091351829469203,0.6883507966995239,30.0,30.0
CNN_PLAIN_NoFOG,CNN,PLAIN,NoFOG,4,gateway_A,1.0,0.92698411714463,0.053073821113036754,0.800000011920929,1.0,0.26977914420976523,0.19972360748050366,0.0271787252277135,0.814701497554779,30.0,30.0
CNN_PLAIN_NoFOG,CNN,PLAIN,NoFOG,4,gateway_B,1.0,1.0,0.0,1.0,1.0,0.027695252025957618,0.09957165695898927,0.0001058505367836,0.4740205109119415,30.0,30.0
CNN_PLAIN_NoFOG,CNN,PLAIN,NoFOG,6,gateway_A,20.0,0.8083333283662796,0.07216877917504626,0.699999988079071,0.9333333373069764,0.4787553198635578,0.1759287119788469,0.2145722657442093,0.8346434235572815,30.0,30.0
CNN_PLAIN_NoFOG,CNN,PLAIN,NoFOG,6,gateway_B,20.0,0.7916666626930237,0.07216877951917382,0.6333333253860474,0.9666666388511658,0.48313744068145753,0.15250476508619035,0.1615123748779297,0.7572230100631714,30.0,30.0
RN_ASCON_FOG,RN,ASCON,FOG,2,gateway_A,20.0,0.8783333241939545,0.10015265867817355,0.6333333253860474,1.0,0.3246089112013578,0.2745842302262119,0.0123705631121993,1.159526824951172,30.0,30.0
RN_ASCON_FOG,RN,ASCON,FOG,2,gateway_B,20.0,0.9799999982118607,0.07986099229518165,0.6333333253860474,1.0,0.07027286128140983,0.1951879606576663,0.003089633770287,0.9131479263305664,30.0,30.0
RN_ASCON_FOG,RN,ASCON,FOG,3,gateway_A,20.0,0.9233333230018616,0.08034647272944362,0.699999988079071,1.0,0.24392890543676912,0.24873432070487006,0.0126214744523167,1.0635058879852295,30.0,30.0
RN_ASCON_FOG,RN,ASCON,FOG,3,gateway_B,20.0,0.9016666620969772,0.0957281976809227,0.6333333253860474,1.0,0.28318695672787725,0.2438058953867966,0.0093838544562459,0.8978769779205322,30.0,30.0
