variant,model,security,topology,attempt_id,source_scope,device_suffix,channel,operation,events,avg_ms,median_ms,p95_ms,max_ms,avg_pt_bytes,avg_enc_bytes,avg_overhead_bytes,avg_overhead_ratio_pct,avg_expansion_ratio
CNN_ASCON_FOG,CNN,ASCON,FOG,4,gateway_transport,gateway_B,RPi_peer->RPi_leader,encrypt,20.0,37.49255,37.364,41.402,41.763,3665.1,4970.4,1305.3,35.614332550838434,1.3561433255083846
CNN_ASCON_FOG,CNN,ASCON,FOG,4,server_transport,Asus,PC->RPi,encrypt,20.0,14.585699999999997,13.325,18.98170000000001,32.998,3575.65,4851.4,1275.75,35.67887169248128,1.3567887169248125
CNN_ASCON_FOG,CNN,ASCON,FOG,4,server_transport,Asus,RPi->PC,decrypt,20.0,14.246,11.51,30.76385,31.065,3690.45,5019.6,1329.15,36.01594347650226,1.3601594347650228
CNN_ASCON_FOG,CNN,ASCON,FOG,5,gateway_transport,gateway_A,ESP32->RPi,decrypt,612.0,3.002890522875817,3.678,4.59945,5.615,114.91503267973856,231.44444444444446,116.52941176470588,101.76922666046427,2.017692266604643
CNN_ASCON_FOG,CNN,ASCON,FOG,5,gateway_transport,gateway_B,ESP32->RPi,decrypt,620.0,3.2480516129032257,3.9044999999999996,4.6301999999999985,11.974,116.80483870967743,234.0,117.19516129032257,100.37853936824305,2.0037853936824312
CNN_ASCON_FOG,CNN,ASCON,FOG,5,gateway_transport,gateway_A,PC->RPi,decrypt,20.0,32.73085000000001,32.76649999999999,34.3142,34.679,3553.65,4822.0,1268.35,35.6915943791654,1.356915943791654
CNN_ASCON_FOG,CNN,ASCON,FOG,5,gateway_transport,gateway_A,RPi->ESP32,encrypt,20.0,34.36155000000001,34.333,36.74165,36.944,3553.65,4822.0,1268.35,35.6915943791654,1.356915943791654
CNN_ASCON_FOG,CNN,ASCON,FOG,5,gateway_transport,gateway_B,RPi->ESP32,encrypt,20.0,38.25645,34.5725,56.38795,57.014,3553.65,4822.0,1268.35,35.6915943791654,1.356915943791654
CNN_ASCON_FOG,CNN,ASCON,FOG,5,gateway_transport,gateway_A,RPi->PC,encrypt,20.0,41.123099999999994,37.2325,44.98225000000004,106.205,3667.85,4974.2,1306.35,35.61627050587942,1.356162705058794
CNN_ASCON_FOG,CNN,ASCON,FOG,5,gateway_transport,gateway_B,RPi_leader->RPi_peer,decrypt,20.0,67.56145000000001,77.444,94.8621,94.94,3553.65,4822.0,1268.35,35.6915943791654,1.356915943791654
CNN_ASCON_FOG,CNN,ASCON,FOG,5,gateway_transport,gateway_A,RPi_leader->RPi_peer,encrypt,20.0,32.469800000000006,32.499,35.788050000000005,36.872,3553.65,4822.0,1268.35,35.6915943791654,1.356915943791654
CNN_ASCON_FOG,CNN,ASCON,FOG,5,gateway_transport,gateway_A,RPi_peer->RPi_leader,decrypt,20.0,55.08855000000001,38.167,90.44205,95.174,3643.85,4942.0,1298.15,35.62581566005655,1.3562581566005656
