variant,attempt_id,global_round,gateway_a,gateway_b,accuracy_gateway_A,accuracy_gateway_B,accuracy_skew_abs,loss_gateway_A,loss_gateway_B,loss_skew_abs,gateway_train_skew_sec,accuracy_gateway_fog_leader,accuracy_gateway_fog_peer,loss_gateway_fog_leader,loss_gateway_fog_peer,global_accuracy,global_loss
CNN_ASCON_FOG,2,12,gateway_A,gateway_B,0.8666666746139526,0.9666666388511658,0.09999996423721313,0.2322805821895599,0.1170989722013473,0.11518160998821261,1.0,,,,,0.916667,0.17469
CNN_ASCON_FOG,2,13,gateway_A,gateway_B,0.8999999761581421,0.9666666388511658,0.06666666269302368,0.1959331929683685,0.047110479325056,0.1488227136433125,0.0,,,,,0.933333,0.121522
CNN_ASCON_FOG,2,14,gateway_A,gateway_B,0.9666666388511658,1.0,0.03333336114883423,0.1506733447313308,0.0052225370891392,0.1454508076421916,0.0,,,,,0.983333,0.077948
CNN_ASCON_FOG,2,15,gateway_A,gateway_B,0.8999999761581421,0.9666666388511658,0.06666666269302368,0.1485199481248855,0.0548461750149726,0.0936737731099129,0.0,,,,,0.933333,0.101683
CNN_ASCON_FOG,2,16,gateway_A,gateway_B,1.0,1.0,0.0,0.0387886315584182,0.0605378076434135,0.021749176084995304,0.0,,,,,1.0,0.049663
CNN_ASCON_FOG,2,17,gateway_A,gateway_B,0.9333333373069764,1.0,0.06666666269302357,0.1585970073938369,0.0138353407382965,0.14476166665554038,1.0,,,,,0.966667,0.086216
CNN_ASCON_FOG,2,18,gateway_A,gateway_B,0.9666666388511658,1.0,0.03333336114883423,0.1944890022277832,0.0150822978466749,0.1794067043811083,1.0,,,,,0.983333,0.104786
CNN_ASCON_FOG,2,19,gateway_A,gateway_B,1.0,1.0,0.0,0.0892039164900779,0.0116330198943614,0.0775708965957165,1.0,,,,,1.0,0.050418
CNN_ASCON_FOG,2,20,gateway_A,gateway_B,0.8999999761581421,1.0,0.10000002384185791,0.2426077276468277,0.0132964691147208,0.2293112585321069,1.0,,,,,0.95,0.127952
CNN_ASCON_FOG,3,1,gateway_A,gateway_B,1.0,1.0,0.0,0.3993514776229858,0.2712846100330353,0.1280668675899505,4.0,,,,,1.0,0.335318
CNN_ASCON_FOG,3,2,gateway_A,gateway_B,1.0,1.0,0.0,0.2108054906129837,0.2771733999252319,0.06636790931224817,5.0,,,,,1.0,0.243989
CNN_ASCON_FOG,3,3,gateway_A,gateway_B,0.9666666388511658,1.0,0.03333336114883423,0.154484361410141,0.0568285062909126,0.09765585511922839,5.0,,,,,0.983333,0.105656
CNN_ASCON_FOG,3,4,gateway_A,gateway_B,0.800000011920929,0.8666666746139526,0.06666666269302368,0.4706498384475708,0.496713250875473,0.02606341242790222,0.0,,,,,0.833333,0.483682
CNN_ASCON_FOG,3,5,gateway_A,gateway_B,0.7333333492279053,0.7333333492279053,0.0,0.6056469082832336,0.7343930006027222,0.12874609231948853,0.0,,,,,0.733333,0.67002
CNN_ASCON_FOG,3,6,gateway_A,gateway_B,0.9333333373069764,0.8666666746139526,0.06666666269302379,0.3142556846141815,0.4341257512569427,0.11987006664276117,1.0,,,,,0.9,0.374191
CNN_ASCON_FOG,3,7,gateway_A,gateway_B,0.9666666388511658,0.8999999761581421,0.06666666269302368,0.1770749986171722,0.3630438446998596,0.1859688460826874,1.0,,,,,0.933333,0.270059
CNN_ASCON_FOG,3,8,gateway_A,gateway_B,0.9333333373069764,0.9333333373069764,0.0,0.2251771539449691,0.2240867912769317,0.0010903626680373868,1.0,,,,,0.933333,0.224632
CNN_ASCON_FOG,3,9,gateway_A,gateway_B,0.800000011920929,0.8666666746139526,0.06666666269302368,0.5245373845100403,0.3990098237991333,0.12552756071090698,0.0,,,,,0.833333,0.461774
CNN_ASCON_FOG,3,10,gateway_A,gateway_B,0.9333333373069764,0.8999999761581421,0.03333336114883434,0.2717945873737335,0.3232838213443756,0.05148923397064209,0.0,,,,,0.916667,0.297539
CNN_ASCON_FOG,3,11,gateway_A,gateway_B,0.9333333373069764,0.9333333373069764,0.0,0.1749507784843444,0.1055948957800865,0.0693558827042579,1.0,,,,,0.933333,0.140273
CNN_ASCON_FOG,3,12,gateway_A,gateway_B,0.9666666388511658,0.9333333373069764,0.03333330154418934,0.2313766926527023,0.2602309584617615,0.02885426580905917,0.0,,,,,0.95,0.245804
CNN_ASCON_FOG,3,13,gateway_A,gateway_B,0.9333333373069764,0.8666666746139526,0.06666666269302379,0.1107759475708007,0.3410219550132751,0.2302460074424744,0.0,,,,,0.9,0.225899
CNN_ASCON_FOG,3,14,gateway_A,gateway_B,0.9666666388511658,1.0,0.03333336114883423,0.1246628537774086,0.0649002492427825,0.059762604534626104,0.0,,,,,0.983333,0.094782
CNN_ASCON_FOG,3,15,gateway_A,gateway_B,0.9333333373069764,0.9666666388511658,0.03333330154418934,0.1679073274135589,0.0674155801534652,0.1004917472600937,1.0,,,,,0.95,0.117661
CNN_ASCON_FOG,3,16,gateway_A,gateway_B,0.8666666746139526,0.9333333373069764,0.06666666269302379,0.2530346810817718,0.193536028265953,0.05949865281581879,0.0,,,,,0.9,0.223285
CNN_ASCON_FOG,3,17,gateway_A,gateway_B,1.0,0.9333333373069764,0.06666666269302357,0.0453624911606311,0.1941400915384292,0.1487776003777981,0.0,,,,,0.966667,0.119751
CNN_ASCON_FOG,3,18,gateway_A,gateway_B,1.0,0.9333333373069764,0.06666666269302357,0.0750341713428497,0.2225282341241836,0.1474940627813339,0.0,,,,,0.966667,0.148781
CNN_ASCON_FOG,3,19,gateway_A,gateway_B,0.9666666388511658,0.8999999761581421,0.06666666269302368,0.0837117731571197,0.2222823798656463,0.1385706067085266,1.0,,,,,0.933333,0.152997
CNN_ASCON_FOG,3,20,gateway_A,gateway_B,1.0,0.8999999761581421,0.10000002384185791,0.0415299907326698,0.2399087250232696,0.1983787342905998,6.0,,,,,0.95,0.140719
CNN_ASCON_FOG,4,1,gateway_A,gateway_B,1.0,1.0,0.0,0.3151843249797821,0.2247875034809112,0.0903968214988709,0.0,,,,,1.0,0.269986
CNN_ASCON_FOG,4,2,gateway_A,gateway_B,1.0,1.0,0.0,0.0924166962504386,0.0654814168810844,0.026935279369354206,0.0,,,,,1.0,0.078949
CNN_ASCON_FOG,4,3,gateway_A,gateway_B,1.0,1.0,0.0,0.0154309570789337,0.0127465575933456,0.0026843994855880998,4.0,,,,,1.0,0.014089
CNN_ASCON_FOG,4,4,gateway_A,gateway_B,0.8666666746139526,1.0,0.13333332538604736,0.2056837230920791,0.0052713388577103,0.2004123842343688,5.0,,,,,0.933333,0.105478
CNN_ASCON_FOG,4,5,gateway_A,gateway_B,0.800000011920929,1.0,0.19999998807907104,0.4214311838150024,0.0058633843436837,0.41556779947131867,5.0,,,,,0.9,0.213647
CNN_ASCON_FOG,4,6,gateway_A,gateway_B,0.8666666746139526,1.0,0.13333332538604736,0.3018900454044342,0.0048517785035073,0.2970382669009269,5.0,,,,,0.933333,0.153371
CNN_ASCON_FOG,4,7,gateway_A,gateway_B,0.7666666507720947,1.0,0.23333334922790527,0.4415440857410431,0.0037744781002402,0.4377696076408029,4.0,,,,,0.883333,0.222659
CNN_ASCON_FOG,4,8,gateway_A,gateway_B,0.8333333134651184,1.0,0.1666666865348816,0.3263859152793884,0.0035981684923171,0.32278774678707134,4.0,,,,,0.916667,0.164992
CNN_ASCON_FOG,4,9,gateway_A,gateway_B,0.800000011920929,1.0,0.19999998807907104,0.3321747481822967,0.0019839985761791,0.3301907496061176,5.0,,,,,0.9,0.167079
CNN_ASCON_FOG,4,10,gateway_A,gateway_B,0.7666666507720947,1.0,0.23333334922790527,0.3481329977512359,0.0016067158430814,0.3465262819081545,4.0,,,,,0.883333,0.17487
CNN_ASCON_FOG,4,11,gateway_A,gateway_B,0.7333333492279053,1.0,0.2666666507720947,0.3684224188327789,0.0013755521504208,0.3670468666823581,4.0,,,,,0.866667,0.184899
CNN_ASCON_FOG,4,12,gateway_A,gateway_B,0.699999988079071,1.0,0.30000001192092896,0.4802329242229461,0.0011514939833432,0.4790814302396029,5.0,,,,,0.85,0.240692
CNN_ASCON_FOG,4,13,gateway_A,gateway_B,0.7666666507720947,1.0,0.23333334922790527,0.3631333112716675,0.0011236671125516,0.3620096441591159,4.0,,,,,0.883333,0.182128
CNN_ASCON_FOG,4,14,gateway_A,gateway_B,0.8333333134651184,1.0,0.1666666865348816,0.2740586698055267,0.0009271802264265,0.27313148957910016,5.0,,,,,0.916667,0.137493
CNN_ASCON_FOG,4,15,gateway_A,gateway_B,0.9666666388511658,1.0,0.03333336114883423,0.0976251065731048,0.000739662325941,0.0968854442471638,4.0,,,,,0.983333,0.049182
CNN_ASCON_FOG,4,16,gateway_A,gateway_B,0.9333333373069764,1.0,0.06666666269302357,0.1169954538345336,0.000656347896438,0.1163391059380956,5.0,,,,,0.966667,0.058826
CNN_ASCON_FOG,4,17,gateway_A,gateway_B,0.8999999761581421,1.0,0.10000002384185791,0.1849162727594375,0.0004943270469084,0.1844219457125291,5.0,,,,,0.95,0.092705
CNN_ASCON_FOG,4,18,gateway_A,gateway_B,0.9333333373069764,1.0,0.06666666269302357,0.1194263994693756,0.0004836879670619,0.1189427115023137,5.0,,,,,0.966667,0.059955
CNN_ASCON_FOG,4,19,gateway_A,gateway_B,1.0,1.0,0.0,0.1425040513277053,0.0004867479729,0.1420173033548053,5.0,,,,,1.0,0.071495
CNN_ASCON_FOG,4,20,gateway_A,gateway_B,1.0,1.0,0.0,0.1416170448064804,0.0005586215411312,0.1410584232653492,5.0,,,,,1.0,0.071088
CNN_ASCON_FOG,5,1,gateway_A,gateway_B,1.0,1.0,0.0,0.2150257676839828,0.8445013761520386,0.6294756084680557,5.0,,,,,1.0,0.529764
CNN_ASCON_FOG,5,2,gateway_A,gateway_B,1.0,1.0,0.0,0.1903126090764999,0.3536905944347381,0.1633779853582382,5.0,,,,,1.0,0.272002
CNN_ASCON_FOG,5,3,gateway_A,gateway_B,1.0,1.0,0.0,0.0349318347871303,0.0412004925310611,0.006268657743930803,9.0,,,,,1.0,0.038066
CNN_ASCON_FOG,5,4,gateway_A,gateway_B,0.800000011920929,1.0,0.19999998807907104,0.5080711245536804,0.0093613695353269,0.4987097550183535,9.0,,,,,0.9,0.258716
CNN_ASCON_FOG,5,5,gateway_A,gateway_B,0.8333333134651184,1.0,0.1666666865348816,0.4970498979091644,0.0078900586813688,0.4891598392277956,10.0,,,,,0.916667,0.25247
CNN_ASCON_FOG,5,6,gateway_A,gateway_B,0.9666666388511658,1.0,0.03333336114883423,0.1952326595783233,0.0065317582339048,0.1887009013444185,10.0,,,,,0.983333,0.100882
CNN_ASCON_FOG,5,7,gateway_A,gateway_B,0.8333333134651184,1.0,0.1666666865348816,0.423318862915039,0.0042335581965744,0.4190853047184646,10.0,,,,,0.916667,0.213776
